author,year,identifier,title,journal,keyword_time,keyword_place,described_species,described_genus,described_fam_ord,nov_fam,nov_gen,nov_sp,DOI,abstract,author1,journal_detail,pubtype,language,reference_display,reference_key
"Russell D. E., Galoyer A., P. Louis, P. D. Gingerich",1988,,"Nouveaux vertébrés sparnaciens du Conglomérat de Meudon à Meudon, France","Comptes Rendu de l'Académie de Sciences, Paris, Ser. II",,,,,,,,,,,Russell,,Journal article,English,Russell et al. 1988,russell et al. 1988
"Ryan M. J., Eberth D. A., ",1995,,"Taphonomy of a hadrosaur (Ornithischia: Hadrosauridae) bone bed from the Horseshoe Canyon Formation (early Maastrichtian), Alberta, Canada",Journal of Vertebrate Paleontology,,,,,,,,,,,Ryan,,Abstract,English,Ryan & Eberth 1995,ryan & eberth 1995
"Ryan M. J., Russell A. P., D. A. Eberth, P. J. Currie",2001,,"The taphonomy of a Centrosaurus (Ornithischia: Ceratopsidae) bone bed from the Dinosaur Park Formation (Upper Campanian), Alberta, Canada, with comments on cranial ontogeny",Palaios,,,,,,,,,10.1669/0883-1351(2001)016<0482:ttoaco>2.0.co;2,,Ryan,,Journal article,English,Ryan et al. 2001,ryan et al. 2001
"Sabau I., Venczel M., V. A. Codrea, M. Bordeianu",2021,,Diplocynodon: a salt water eocene crocodile from Transylvania?,North-western Journal of Zoology,,,,,,,,,,,SabƒÉu,,Journal article,English,Sabau et al. 2021,sabau et al. 2021
"Sabol M., Kovac M., ",2006,,"Badenian palaeoenvironment, faunal succesion and biostratigraphy: A case study from Northern Vienna Basin, Devinska Nova Ves-Bonanza site (Western Carpathians, Slovakia)",Beitrage zur Palaontologie,,,,,,,,,,,Sabol,,Journal article,English,Sabol & Kovac 2006,sabol & kovac 2006
"Sach V. J., Heizmann E. P. J., ",2001,,Stratigraphy and mammal faunas of the Brackwassermolasse in the surroundings of Ulm (Southwest Germany),Stuttgarter Beiträge zur Naturkunde Serie B (Geologie und Paläontologie),,,,,,,,,,,Sach,,Journal article,German,Sach & Heizmann 2001,sach & heizmann 2001
"Sadowski H. J., Callahan W. R., D. J. Ehret, L. G. Conti, W. J. Shankle, D. C. Parris",2020,,"A large longirostrine crocodylian from the Paleocene Vincentown Formation in Burlington County, New Jersey and associated invertebrate fauna",The Mosasaur,,,,,,,,,,,Sadowski,,Journal article,English,Sadowski et al. 2020,sadowski et al. 2020
"Sahni A., Mishra V. P., ",1975,,Lower Tertiary vertebrates from western India,Monograph of the Palaeontological Society of India,,,,,,,,,,,Sahni,,Journal article,unknown,Sahni & Mishra 1975,sahni & mishra 1975
"Sahni A.,  , ",1979,,Miocene vertebrates from the coastal Tertiary rocks of peninsular india and Sri Lanka,Geological Survey of India Miscellaneous Publications,,,,,,,,,,,Sahni,,Journal article,English,Sahni 1979,sahni 1979
"Sahni A.,  , ",1984,,Cretaceous-Paleocene terrestrial faunas of India: lack of endemism during drifting of the Indian Plate,Science,,,,,,,,,,,Sahni,,Journal article,English,Sahni 1984,sahni 1984
"Salama Y., Altoom N. G., A. A. Allam, J. S. Ajarem, S. Abd-Elhameed",2021,,"Late Cretaceous anacoracid sharks (Squalicorax) from Duwi Formation, Gebel Duwi, central Eastern Desert, Egypt: qualitative and quantitative analyses",Historical Biology,,,,,,,,,10.1080/08912963.2020.1847102,,Salama,,Journal article,English,Salama et al. 2021,salama et al. 2021
"Salgado L., Gasparini Z., ",2006,,Reappraisal of an ankylosaurian dinosaur from the Upper Cretaceous of James Ross Island (Antarctica),Geodiversitas,,,,,,,,,,,Salgado,,Journal article,English,Salgado & Gasparini 2006,salgado & gasparini 2006
"Sallaberry M. A., Yury-Yanez R. E., R. A. Otero, S. Soto-Acuna, T. G. Torres",2010,,Eocene birds from the western margin of southernmost South America,Journal of Paleontology,,,,,,,,,10.1666/09-157.1,,Sallaberry,,Journal article,English,Sallaberry et al. 2010,sallaberry et al. 2010
